Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-16 00:00:00+00:00,95554.1015625,95801.890625,94259.2734375,95525.1171875,33248170537,0.0,0.0
2026-01-17 00:00:00+00:00,95525.15625,95598.4765625,95005.6171875,95099.921875,16021715122,0.0,0.0
2026-01-18 00:00:00+00:00,95101.1796875,95491.5078125,93588.8671875,93634.4296875,20809781232,0.0,0.0
2026-01-19 00:00:00+00:00,93655.671875,93660.828125,92089.25,92553.59375,39195241508,0.0,0.0
2026-01-20 00:00:00+00:00,92553.6015625,92798.4296875,87814.9296875,88310.90625,53072968031,0.0,0.0
2026-01-21 00:00:00+00:00,88326.5078125,90430.40625,87231.5703125,89376.9609375,56330422434,0.0,0.0
2026-01-22 00:00:00+00:00,89378.5234375,90258.9609375,88438.4453125,89462.453125,35549685694,0.0,0.0
2026-01-23 00:00:00+00:00,89462.046875,91100.25,88486.359375,89503.875,38997586037,0.0,0.0
2026-01-24 00:00:00+00:00,89506.1484375,89811.609375,89044.2890625,89110.734375,14558687712,0.0,0.0
2026-01-25 00:00:00+00:00,89104.765625,89193.1484375,86003.7109375,86572.21875,36124986722,0.0,0.0
2026-01-26 00:00:00+00:00,86566.5234375,88743.0703125,86429.2890625,88267.140625,45329286974,0.0,0.0
2026-01-27 00:00:00+00:00,88257.4765625,89427.125,87228.921875,89102.5703125,38744942267,0.0,0.0
2026-01-28 00:00:00+00:00,89104.046875,90439.2890625,88721.4609375,89184.5703125,39807419296,0.0,0.0
2026-01-29 00:00:00+00:00,89169.8515625,89200.78125,83250.6015625,84561.5859375,64653083162,0.0,0.0
2026-01-30 00:00:00+00:00,84562.7265625,84602.1640625,81071.4765625,84128.65625,72083816087,0.0,0.0
2026-01-31 00:00:00+00:00,84126.5,84136.921875,75815.8828125,78621.1171875,70479259159,0.0,0.0
2026-02-01 00:00:00+00:00,78626.125,79322.609375,75698.8984375,76974.4453125,53372509744,0.0,0.0
2026-02-02 00:00:00+00:00,76968.875,79258.609375,74551.3359375,78688.765625,75140589684,0.0,0.0
2026-02-03 00:00:00+00:00,78693.5078125,79118.8515625,72897.140625,75633.546875,68249110822,0.0,0.0
2026-02-04 00:00:00+00:00,75640.09375,76864.65625,71779.9296875,73019.703125,67215363944,0.0,0.0
2026-02-05 00:00:00+00:00,73016.375,73161.5546875,62353.53515625,62702.09765625,125509410908,0.0,0.0
2026-02-06 00:00:00+00:00,62704.453125,71681.3046875,60074.203125,70555.390625,114674259489,0.0,0.0
2026-02-07 00:00:00+00:00,70553.796875,71611.1484375,67364.4453125,69281.96875,62347107663,0.0,0.0
2026-02-08 00:00:00+00:00,69283.7265625,72206.90625,68852.8984375,70264.7265625,39721722619,0.0,0.0
2026-02-09 00:00:00+00:00,70243.328125,71369.96875,68291.03125,70120.78125,52081598792,0.0,0.0
2026-02-10 00:00:00+00:00,70137.390625,70464.265625,67913.09375,68793.9609375,40593063077,0.0,0.0
2026-02-11 00:00:00+00:00,68791.859375,69242.6796875,65757.3046875,66991.96875,49671946030,0.0,0.0
2026-02-12 00:00:00+00:00,66992.1953125,68339.4921875,65092.109375,66221.84375,44651071271,0.0,0.0
2026-02-13 00:00:00+00:00,66213.375,69382.8359375,65835.78125,68857.84375,40820775886,0.0,0.0
2026-02-14 00:00:00+00:00,68856.984375,70481.1640625,68706.6171875,69767.625,36012397645,0.0,0.0
2026-02-15 00:00:00+00:00,69764.953125,70939.2890625,68052.546875,68788.1875,40191152750,0.0,0.0
2026-02-16 00:00:00+00:00,68776.75,69903.46875,67374.3828125,68507.265625,33863827456,0.0,0.0
